/home/arise/Desktop/web_design/simulator.py:13: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
🚀 Simulator running — publishing every 5s...

📡 [2026-04-18T02:59:47.015775] Published: {'temperature': 28.36, 'humidity': 58.07, 'co2': 454, 'ch4': 6, 'pressure': 1012, 'light': 850}
📡 [2026-04-18T03:14:07.199500] Published: {'temperature': 28.95, 'humidity': 81.09, 'co2': 1021, 'ch4': 7, 'pressure': 1007, 'light': 259}
📡 [2026-04-18T03:14:12.200545] Published: {'temperature': 28.42, 'humidity': 61.34, 'co2': 561, 'ch4': 3, 'pressure': 996, 'light': 653}
📡 [2026-04-18T03:14:17.201464] Published: {'temperature': 26.04, 'humidity': 77.0, 'co2': 972, 'ch4': 6, 'pressure': 1003, 'light': 239}
📡 [2026-04-18T03:14:22.202726] Published: {'temperature': 25.56, 'humidity': 68.44, 'co2': 813, 'ch4': 11, 'pressure': 1018, 'light': 436}
📡 [2026-04-18T03:14:27.203845] Published: {'temperature': 27.87, 'humidity': 53.43, 'co2': 360, 'ch4': 1, 'pressure': 994, 'light': 721}
📡 [2026-04-18T03:14:32.204862] Published: {'temperature': 24.89, 'humidity': 80.95, 'co2': 894, 'ch4': 5, 'pressure': 1016, 'light': 336}
📡 [2026-04-18T03:14:37.205965] Published: {'temperature': 25.91, 'humidity': 60.89, 'co2': 636, 'ch4': 14, 'pressure': 1006, 'light': 849}
📡 [2026-04-18T03:14:42.206761] Published: {'temperature': 28.07, 'humidity': 55.73, 'co2': 453, 'ch4': 3, 'pressure': 1001, 'light': 160}
📡 [2026-04-18T03:14:47.207644] Published: {'temperature': 27.54, 'humidity': 88.13, 'co2': 1001, 'ch4': 3, 'pressure': 1012, 'light': 343}
📡 [2026-04-18T03:14:52.208875] Published: {'temperature': 28.67, 'humidity': 78.62, 'co2': 766, 'ch4': 13, 'pressure': 1011, 'light': 854}
📡 [2026-04-18T03:14:57.209543] Published: {'temperature': 29.77, 'humidity': 82.85, 'co2': 1009, 'ch4': 10, 'pressure': 1016, 'light': 282}
📡 [2026-04-18T03:15:02.210441] Published: {'temperature': 25.07, 'humidity': 56.56, 'co2': 771, 'ch4': 1, 'pressure': 1001, 'light': 563}
📡 [2026-04-18T03:15:07.211044] Published: {'temperature': 27.74, 'humidity': 72.75, 'co2': 564, 'ch4': 1, 'pressure': 995, 'light': 522}
📡 [2026-04-18T03:15:12.212220] Published: {'temperature': 26.74, 'humidity': 57.16, 'co2': 501, 'ch4': 11, 'pressure': 1013, 'light': 631}
📡 [2026-04-18T03:15:17.212884] Published: {'temperature': 28.11, 'humidity': 53.48, 'co2': 505, 'ch4': 11, 'pressure': 1011, 'light': 154}
📡 [2026-04-18T03:15:22.214192] Published: {'temperature': 28.31, 'humidity': 82.99, 'co2': 562, 'ch4': 4, 'pressure': 1015, 'light': 694}
📡 [2026-04-18T03:15:27.214956] Published: {'temperature': 27.15, 'humidity': 77.08, 'co2': 580, 'ch4': 2, 'pressure': 1024, 'light': 824}
📡 [2026-04-18T03:15:32.216275] Published: {'temperature': 24.51, 'humidity': 54.96, 'co2': 1090, 'ch4': 9, 'pressure': 1021, 'light': 853}
📡 [2026-04-18T03:15:37.216987] Published: {'temperature': 25.78, 'humidity': 74.76, 'co2': 790, 'ch4': 1, 'pressure': 1025, 'light': 171}
📡 [2026-04-18T03:15:42.218014] Published: {'temperature': 28.21, 'humidity': 81.42, 'co2': 509, 'ch4': 15, 'pressure': 1012, 'light': 315}
📡 [2026-04-18T03:15:47.218926] Published: {'temperature': 26.93, 'humidity': 57.86, 'co2': 1063, 'ch4': 2, 'pressure': 1021, 'light': 341}
📡 [2026-04-18T03:15:52.219685] Published: {'temperature': 29.59, 'humidity': 80.71, 'co2': 660, 'ch4': 13, 'pressure': 1017, 'light': 209}
📡 [2026-04-18T03:15:57.220417] Published: {'temperature': 29.95, 'humidity': 60.0, 'co2': 755, 'ch4': 7, 'pressure': 1018, 'light': 738}
📡 [2026-04-18T03:16:02.221016] Published: {'temperature': 25.06, 'humidity': 54.96, 'co2': 556, 'ch4': 9, 'pressure': 995, 'light': 904}
📡 [2026-04-18T03:16:07.221390] Published: {'temperature': 29.37, 'humidity': 82.18, 'co2': 462, 'ch4': 12, 'pressure': 1012, 'light': 138}
📡 [2026-04-18T03:16:12.222196] Published: {'temperature': 27.25, 'humidity': 50.49, 'co2': 762, 'ch4': 9, 'pressure': 1017, 'light': 870}
📡 [2026-04-18T03:16:17.222928] Published: {'temperature': 28.66, 'humidity': 72.88, 'co2': 483, 'ch4': 13, 'pressure': 1005, 'light': 340}
📡 [2026-04-18T03:16:22.223772] Published: {'temperature': 25.08, 'humidity': 88.18, 'co2': 496, 'ch4': 11, 'pressure': 1012, 'light': 470}
📡 [2026-04-18T03:16:27.224705] Published: {'temperature': 25.33, 'humidity': 51.65, 'co2': 733, 'ch4': 13, 'pressure': 995, 'light': 751}
📡 [2026-04-18T03:16:32.226107] Published: {'temperature': 24.57, 'humidity': 77.25, 'co2': 818, 'ch4': 1, 'pressure': 1000, 'light': 688}
📡 [2026-04-18T03:16:37.226974] Published: {'temperature': 26.35, 'humidity': 60.25, 'co2': 635, 'ch4': 11, 'pressure': 1012, 'light': 722}
📡 [2026-04-18T03:16:42.227951] Published: {'temperature': 28.44, 'humidity': 74.78, 'co2': 558, 'ch4': 11, 'pressure': 1017, 'light': 724}
📡 [2026-04-18T03:16:47.229016] Published: {'temperature': 29.07, 'humidity': 86.25, 'co2': 506, 'ch4': 14, 'pressure': 999, 'light': 831}
📡 [2026-04-18T03:16:52.229713] Published: {'temperature': 25.51, 'humidity': 54.77, 'co2': 514, 'ch4': 12, 'pressure': 1001, 'light': 765}
📡 [2026-04-18T03:16:57.230382] Published: {'temperature': 25.89, 'humidity': 84.81, 'co2': 716, 'ch4': 13, 'pressure': 1015, 'light': 130}
📡 [2026-04-18T03:17:02.230788] Published: {'temperature': 26.72, 'humidity': 66.67, 'co2': 630, 'ch4': 3, 'pressure': 1009, 'light': 245}
📡 [2026-04-18T03:17:07.231317] Published: {'temperature': 25.51, 'humidity': 61.61, 'co2': 478, 'ch4': 11, 'pressure': 999, 'light': 777}
📡 [2026-04-18T03:17:12.232062] Published: {'temperature': 24.28, 'humidity': 89.1, 'co2': 842, 'ch4': 11, 'pressure': 1021, 'light': 166}
📡 [2026-04-18T03:17:17.232508] Published: {'temperature': 24.03, 'humidity': 83.88, 'co2': 680, 'ch4': 14, 'pressure': 997, 'light': 972}
📡 [2026-04-18T03:17:22.233285] Published: {'temperature': 25.83, 'humidity': 82.82, 'co2': 510, 'ch4': 11, 'pressure': 1014, 'light': 256}
📡 [2026-04-18T03:17:27.234046] Published: {'temperature': 25.44, 'humidity': 69.03, 'co2': 687, 'ch4': 14, 'pressure': 1025, 'light': 782}
📡 [2026-04-18T03:17:32.234729] Published: {'temperature': 27.25, 'humidity': 78.39, 'co2': 570, 'ch4': 12, 'pressure': 1001, 'light': 902}
📡 [2026-04-18T03:17:37.235484] Published: {'temperature': 29.52, 'humidity': 65.94, 'co2': 808, 'ch4': 14, 'pressure': 999, 'light': 576}
📡 [2026-04-18T03:17:42.236119] Published: {'temperature': 28.91, 'humidity': 70.76, 'co2': 453, 'ch4': 15, 'pressure': 1005, 'light': 889}
📡 [2026-04-18T03:17:47.237326] Published: {'temperature': 29.58, 'humidity': 68.34, 'co2': 606, 'ch4': 6, 'pressure': 1005, 'light': 193}
📡 [2026-04-18T03:17:52.238334] Published: {'temperature': 28.72, 'humidity': 80.53, 'co2': 809, 'ch4': 12, 'pressure': 1023, 'light': 298}
📡 [2026-04-18T03:17:57.239523] Published: {'temperature': 26.04, 'humidity': 84.3, 'co2': 908, 'ch4': 6, 'pressure': 996, 'light': 620}
📡 [2026-04-18T03:18:02.240153] Published: {'temperature': 27.62, 'humidity': 60.29, 'co2': 740, 'ch4': 12, 'pressure': 1017, 'light': 992}
📡 [2026-04-18T03:18:07.240993] Published: {'temperature': 25.39, 'humidity': 85.77, 'co2': 527, 'ch4': 12, 'pressure': 990, 'light': 228}
📡 [2026-04-18T03:18:12.241827] Published: {'temperature': 24.67, 'humidity': 55.61, 'co2': 1024, 'ch4': 9, 'pressure': 994, 'light': 164}
📡 [2026-04-18T03:18:17.242696] Published: {'temperature': 26.89, 'humidity': 67.29, 'co2': 1086, 'ch4': 13, 'pressure': 1012, 'light': 262}
📡 [2026-04-18T03:18:22.243862] Published: {'temperature': 29.57, 'humidity': 88.93, 'co2': 987, 'ch4': 14, 'pressure': 1023, 'light': 660}
📡 [2026-04-18T03:18:27.245072] Published: {'temperature': 27.93, 'humidity': 57.47, 'co2': 727, 'ch4': 14, 'pressure': 1012, 'light': 608}
📡 [2026-04-18T03:18:32.245682] Published: {'temperature': 25.74, 'humidity': 63.14, 'co2': 511, 'ch4': 5, 'pressure': 1017, 'light': 764}
📡 [2026-04-18T03:18:37.246176] Published: {'temperature': 26.53, 'humidity': 71.77, 'co2': 523, 'ch4': 5, 'pressure': 990, 'light': 467}
📡 [2026-04-18T03:18:42.246541] Published: {'temperature': 25.61, 'humidity': 73.3, 'co2': 563, 'ch4': 9, 'pressure': 1019, 'light': 789}
📡 [2026-04-18T03:18:47.247336] Published: {'temperature': 29.94, 'humidity': 86.54, 'co2': 1029, 'ch4': 8, 'pressure': 998, 'light': 112}
📡 [2026-04-18T03:18:52.248120] Published: {'temperature': 27.3, 'humidity': 67.59, 'co2': 430, 'ch4': 6, 'pressure': 1023, 'light': 310}
📡 [2026-04-18T03:18:57.248569] Published: {'temperature': 26.88, 'humidity': 85.78, 'co2': 1047, 'ch4': 1, 'pressure': 1016, 'light': 669}
📡 [2026-04-18T03:19:02.248929] Published: {'temperature': 27.27, 'humidity': 79.44, 'co2': 1054, 'ch4': 1, 'pressure': 1002, 'light': 882}
📡 [2026-04-18T03:19:07.249760] Published: {'temperature': 27.43, 'humidity': 55.83, 'co2': 436, 'ch4': 7, 'pressure': 1015, 'light': 613}
📡 [2026-04-18T03:19:12.250790] Published: {'temperature': 28.03, 'humidity': 76.69, 'co2': 1062, 'ch4': 15, 'pressure': 1022, 'light': 545}
📡 [2026-04-18T03:19:17.255951] Published: {'temperature': 26.69, 'humidity': 86.19, 'co2': 687, 'ch4': 9, 'pressure': 1008, 'light': 308}
📡 [2026-04-18T03:19:22.256586] Published: {'temperature': 26.54, 'humidity': 84.4, 'co2': 807, 'ch4': 6, 'pressure': 1021, 'light': 239}
📡 [2026-04-18T03:19:27.257641] Published: {'temperature': 28.21, 'humidity': 84.7, 'co2': 710, 'ch4': 14, 'pressure': 1025, 'light': 169}
📡 [2026-04-18T03:19:32.258111] Published: {'temperature': 27.99, 'humidity': 56.52, 'co2': 1022, 'ch4': 1, 'pressure': 1017, 'light': 652}
📡 [2026-04-18T03:19:37.258982] Published: {'temperature': 28.44, 'humidity': 61.62, 'co2': 689, 'ch4': 15, 'pressure': 1003, 'light': 260}
📡 [2026-04-18T03:19:42.259799] Published: {'temperature': 24.99, 'humidity': 88.5, 'co2': 675, 'ch4': 2, 'pressure': 1011, 'light': 980}
📡 [2026-04-18T03:19:47.260629] Published: {'temperature': 26.28, 'humidity': 76.16, 'co2': 980, 'ch4': 13, 'pressure': 992, 'light': 778}
📡 [2026-04-18T03:19:52.261195] Published: {'temperature': 26.04, 'humidity': 69.81, 'co2': 513, 'ch4': 3, 'pressure': 1006, 'light': 371}
📡 [2026-04-18T03:19:57.261825] Published: {'temperature': 24.46, 'humidity': 76.13, 'co2': 452, 'ch4': 2, 'pressure': 994, 'light': 439}
📡 [2026-04-18T03:20:02.263017] Published: {'temperature': 27.33, 'humidity': 77.1, 'co2': 425, 'ch4': 10, 'pressure': 1004, 'light': 597}
📡 [2026-04-18T03:20:07.263943] Published: {'temperature': 29.01, 'humidity': 85.31, 'co2': 628, 'ch4': 12, 'pressure': 1002, 'light': 224}
📡 [2026-04-18T03:20:12.264920] Published: {'temperature': 25.75, 'humidity': 52.79, 'co2': 998, 'ch4': 2, 'pressure': 1020, 'light': 325}
📡 [2026-04-18T03:20:17.266040] Published: {'temperature': 26.96, 'humidity': 76.93, 'co2': 453, 'ch4': 10, 'pressure': 1004, 'light': 818}
📡 [2026-04-18T03:20:22.266431] Published: {'temperature': 25.88, 'humidity': 74.55, 'co2': 486, 'ch4': 6, 'pressure': 1011, 'light': 731}
📡 [2026-04-18T03:20:27.267463] Published: {'temperature': 29.1, 'humidity': 82.18, 'co2': 635, 'ch4': 8, 'pressure': 1024, 'light': 926}
📡 [2026-04-18T03:20:32.268585] Published: {'temperature': 29.17, 'humidity': 87.35, 'co2': 379, 'ch4': 1, 'pressure': 1015, 'light': 581}
📡 [2026-04-18T03:20:37.269926] Published: {'temperature': 29.61, 'humidity': 69.04, 'co2': 494, 'ch4': 14, 'pressure': 1024, 'light': 259}
📡 [2026-04-18T03:20:42.271497] Published: {'temperature': 25.68, 'humidity': 55.04, 'co2': 665, 'ch4': 8, 'pressure': 1025, 'light': 951}
📡 [2026-04-18T03:20:47.272703] Published: {'temperature': 29.96, 'humidity': 89.94, 'co2': 419, 'ch4': 11, 'pressure': 1015, 'light': 423}
📡 [2026-04-18T03:20:52.273822] Published: {'temperature': 24.96, 'humidity': 72.43, 'co2': 532, 'ch4': 14, 'pressure': 1019, 'light': 784}
📡 [2026-04-18T03:20:57.274848] Published: {'temperature': 27.94, 'humidity': 50.35, 'co2': 609, 'ch4': 7, 'pressure': 994, 'light': 759}
📡 [2026-04-18T03:21:02.275767] Published: {'temperature': 24.87, 'humidity': 55.75, 'co2': 391, 'ch4': 9, 'pressure': 1018, 'light': 266}
📡 [2026-04-18T03:21:07.276207] Published: {'temperature': 28.99, 'humidity': 70.92, 'co2': 506, 'ch4': 11, 'pressure': 1015, 'light': 924}
📡 [2026-04-18T03:21:12.277018] Published: {'temperature': 27.48, 'humidity': 70.58, 'co2': 1015, 'ch4': 10, 'pressure': 996, 'light': 446}
📡 [2026-04-18T03:21:17.277746] Published: {'temperature': 27.07, 'humidity': 82.31, 'co2': 755, 'ch4': 8, 'pressure': 994, 'light': 146}
📡 [2026-04-18T03:21:22.278523] Published: {'temperature': 26.42, 'humidity': 76.49, 'co2': 953, 'ch4': 14, 'pressure': 1024, 'light': 238}
📡 [2026-04-18T03:21:27.279763] Published: {'temperature': 29.71, 'humidity': 55.79, 'co2': 784, 'ch4': 1, 'pressure': 991, 'light': 931}
📡 [2026-04-18T03:21:32.281178] Published: {'temperature': 26.03, 'humidity': 82.06, 'co2': 552, 'ch4': 7, 'pressure': 998, 'light': 260}
📡 [2026-04-18T03:21:37.281693] Published: {'temperature': 27.41, 'humidity': 88.79, 'co2': 459, 'ch4': 13, 'pressure': 1007, 'light': 780}
📡 [2026-04-18T03:21:42.282328] Published: {'temperature': 28.03, 'humidity': 82.84, 'co2': 607, 'ch4': 4, 'pressure': 990, 'light': 503}
📡 [2026-04-18T03:21:47.283312] Published: {'temperature': 29.04, 'humidity': 74.84, 'co2': 542, 'ch4': 7, 'pressure': 1009, 'light': 466}
📡 [2026-04-18T03:21:52.284132] Published: {'temperature': 28.99, 'humidity': 87.39, 'co2': 449, 'ch4': 3, 'pressure': 1009, 'light': 804}
📡 [2026-04-18T03:21:57.284837] Published: {'temperature': 29.18, 'humidity': 70.98, 'co2': 834, 'ch4': 13, 'pressure': 1021, 'light': 303}
📡 [2026-04-18T03:22:02.285624] Published: {'temperature': 29.65, 'humidity': 67.04, 'co2': 777, 'ch4': 6, 'pressure': 1019, 'light': 234}
📡 [2026-04-18T03:22:07.286559] Published: {'temperature': 25.11, 'humidity': 75.36, 'co2': 391, 'ch4': 2, 'pressure': 995, 'light': 169}
📡 [2026-04-18T03:22:12.287186] Published: {'temperature': 26.99, 'humidity': 81.53, 'co2': 429, 'ch4': 13, 'pressure': 1024, 'light': 363}
📡 [2026-04-18T03:22:17.288119] Published: {'temperature': 27.38, 'humidity': 66.7, 'co2': 448, 'ch4': 3, 'pressure': 996, 'light': 204}
📡 [2026-04-18T03:22:22.289031] Published: {'temperature': 24.82, 'humidity': 63.84, 'co2': 481, 'ch4': 8, 'pressure': 1017, 'light': 700}
📡 [2026-04-18T03:22:27.289865] Published: {'temperature': 26.38, 'humidity': 58.7, 'co2': 747, 'ch4': 2, 'pressure': 999, 'light': 490}
📡 [2026-04-18T03:22:32.291163] Published: {'temperature': 27.15, 'humidity': 89.1, 'co2': 469, 'ch4': 6, 'pressure': 1002, 'light': 988}
📡 [2026-04-18T03:22:37.291706] Published: {'temperature': 27.06, 'humidity': 89.34, 'co2': 728, 'ch4': 10, 'pressure': 1004, 'light': 188}
📡 [2026-04-18T03:22:42.293454] Published: {'temperature': 24.04, 'humidity': 58.15, 'co2': 791, 'ch4': 13, 'pressure': 1010, 'light': 271}
📡 [2026-04-18T03:22:47.294224] Published: {'temperature': 26.77, 'humidity': 62.82, 'co2': 1087, 'ch4': 7, 'pressure': 1019, 'light': 178}
📡 [2026-04-18T03:22:52.295210] Published: {'temperature': 29.5, 'humidity': 66.68, 'co2': 478, 'ch4': 6, 'pressure': 997, 'light': 757}
📡 [2026-04-18T03:22:57.296014] Published: {'temperature': 27.1, 'humidity': 76.61, 'co2': 960, 'ch4': 10, 'pressure': 1011, 'light': 831}
📡 [2026-04-18T03:23:02.296358] Published: {'temperature': 27.85, 'humidity': 74.27, 'co2': 778, 'ch4': 7, 'pressure': 994, 'light': 695}
📡 [2026-04-18T03:23:07.296933] Published: {'temperature': 29.3, 'humidity': 71.05, 'co2': 556, 'ch4': 3, 'pressure': 1022, 'light': 364}
📡 [2026-04-18T03:23:12.298032] Published: {'temperature': 25.12, 'humidity': 86.35, 'co2': 968, 'ch4': 10, 'pressure': 1012, 'light': 938}
📡 [2026-04-18T03:23:17.298983] Published: {'temperature': 29.86, 'humidity': 68.05, 'co2': 846, 'ch4': 10, 'pressure': 993, 'light': 847}
📡 [2026-04-18T03:23:22.299375] Published: {'temperature': 29.5, 'humidity': 52.6, 'co2': 1026, 'ch4': 12, 'pressure': 1013, 'light': 546}
📡 [2026-04-18T03:23:27.299897] Published: {'temperature': 29.91, 'humidity': 85.46, 'co2': 691, 'ch4': 1, 'pressure': 990, 'light': 658}
📡 [2026-04-18T03:23:32.300938] Published: {'temperature': 26.59, 'humidity': 57.47, 'co2': 926, 'ch4': 11, 'pressure': 1001, 'light': 334}
📡 [2026-04-18T03:23:37.301763] Published: {'temperature': 27.49, 'humidity': 69.17, 'co2': 870, 'ch4': 14, 'pressure': 1021, 'light': 149}
📡 [2026-04-18T03:23:42.302487] Published: {'temperature': 28.37, 'humidity': 54.63, 'co2': 752, 'ch4': 15, 'pressure': 990, 'light': 263}
📡 [2026-04-18T03:23:47.303084] Published: {'temperature': 27.58, 'humidity': 57.85, 'co2': 1050, 'ch4': 10, 'pressure': 1015, 'light': 328}
📡 [2026-04-18T03:23:52.304365] Published: {'temperature': 26.46, 'humidity': 86.68, 'co2': 457, 'ch4': 12, 'pressure': 1003, 'light': 841}
📡 [2026-04-18T03:23:57.305076] Published: {'temperature': 26.27, 'humidity': 72.27, 'co2': 866, 'ch4': 3, 'pressure': 997, 'light': 239}
📡 [2026-04-18T03:24:02.305837] Published: {'temperature': 26.88, 'humidity': 85.78, 'co2': 740, 'ch4': 6, 'pressure': 992, 'light': 201}
📡 [2026-04-18T03:24:07.306658] Published: {'temperature': 28.25, 'humidity': 84.81, 'co2': 517, 'ch4': 6, 'pressure': 1025, 'light': 317}
📡 [2026-04-18T03:24:12.311441] Published: {'temperature': 26.04, 'humidity': 81.87, 'co2': 805, 'ch4': 15, 'pressure': 1022, 'light': 422}
📡 [2026-04-18T03:24:17.311919] Published: {'temperature': 29.54, 'humidity': 86.28, 'co2': 907, 'ch4': 9, 'pressure': 996, 'light': 934}
📡 [2026-04-18T03:24:22.313190] Published: {'temperature': 27.84, 'humidity': 89.04, 'co2': 449, 'ch4': 1, 'pressure': 1002, 'light': 913}
📡 [2026-04-18T03:24:27.314128] Published: {'temperature': 25.71, 'humidity': 53.42, 'co2': 430, 'ch4': 10, 'pressure': 1017, 'light': 431}
📡 [2026-04-18T03:24:32.314763] Published: {'temperature': 27.45, 'humidity': 82.02, 'co2': 708, 'ch4': 6, 'pressure': 1013, 'light': 641}
📡 [2026-04-18T03:24:37.315342] Published: {'temperature': 27.09, 'humidity': 77.16, 'co2': 1042, 'ch4': 7, 'pressure': 1010, 'light': 546}
📡 [2026-04-18T03:24:42.316137] Published: {'temperature': 29.31, 'humidity': 52.35, 'co2': 1083, 'ch4': 4, 'pressure': 1014, 'light': 763}
📡 [2026-04-18T03:24:47.317206] Published: {'temperature': 29.78, 'humidity': 64.13, 'co2': 799, 'ch4': 2, 'pressure': 996, 'light': 573}
📡 [2026-04-18T03:24:52.318111] Published: {'temperature': 27.46, 'humidity': 63.38, 'co2': 994, 'ch4': 14, 'pressure': 992, 'light': 382}
📡 [2026-04-18T03:24:57.319022] Published: {'temperature': 24.54, 'humidity': 81.03, 'co2': 878, 'ch4': 10, 'pressure': 1014, 'light': 768}
📡 [2026-04-18T03:25:02.319985] Published: {'temperature': 25.56, 'humidity': 88.02, 'co2': 1001, 'ch4': 1, 'pressure': 1005, 'light': 378}
📡 [2026-04-18T03:25:07.321152] Published: {'temperature': 27.27, 'humidity': 85.58, 'co2': 585, 'ch4': 14, 'pressure': 1001, 'light': 306}
📡 [2026-04-18T03:25:12.322018] Published: {'temperature': 25.45, 'humidity': 56.67, 'co2': 481, 'ch4': 15, 'pressure': 1025, 'light': 103}
📡 [2026-04-18T03:25:17.323211] Published: {'temperature': 27.76, 'humidity': 63.05, 'co2': 701, 'ch4': 4, 'pressure': 998, 'light': 212}
📡 [2026-04-18T03:25:22.324094] Published: {'temperature': 28.16, 'humidity': 55.15, 'co2': 1034, 'ch4': 14, 'pressure': 1024, 'light': 538}
📡 [2026-04-18T03:25:27.324988] Published: {'temperature': 27.26, 'humidity': 69.16, 'co2': 565, 'ch4': 14, 'pressure': 1021, 'light': 650}
📡 [2026-04-18T03:25:32.325341] Published: {'temperature': 24.1, 'humidity': 55.2, 'co2': 562, 'ch4': 8, 'pressure': 994, 'light': 793}
📡 [2026-04-18T03:25:37.326205] Published: {'temperature': 28.4, 'humidity': 85.7, 'co2': 961, 'ch4': 12, 'pressure': 1014, 'light': 856}
📡 [2026-04-18T03:25:42.326927] Published: {'temperature': 28.58, 'humidity': 87.57, 'co2': 502, 'ch4': 5, 'pressure': 1015, 'light': 868}
📡 [2026-04-18T03:25:47.327362] Published: {'temperature': 26.44, 'humidity': 84.29, 'co2': 809, 'ch4': 5, 'pressure': 998, 'light': 160}
📡 [2026-04-18T03:25:52.327904] Published: {'temperature': 27.55, 'humidity': 83.65, 'co2': 1007, 'ch4': 9, 'pressure': 1020, 'light': 599}
📡 [2026-04-18T03:25:57.329026] Published: {'temperature': 27.18, 'humidity': 59.4, 'co2': 944, 'ch4': 6, 'pressure': 1012, 'light': 934}
📡 [2026-04-18T03:26:02.330122] Published: {'temperature': 28.48, 'humidity': 76.48, 'co2': 426, 'ch4': 10, 'pressure': 1008, 'light': 246}
📡 [2026-04-18T03:26:07.331554] Published: {'temperature': 28.17, 'humidity': 58.59, 'co2': 742, 'ch4': 15, 'pressure': 1019, 'light': 491}
📡 [2026-04-18T03:26:12.332202] Published: {'temperature': 27.07, 'humidity': 89.23, 'co2': 1015, 'ch4': 2, 'pressure': 1020, 'light': 478}
📡 [2026-04-18T03:26:17.333200] Published: {'temperature': 28.89, 'humidity': 54.08, 'co2': 891, 'ch4': 7, 'pressure': 1013, 'light': 564}
📡 [2026-04-18T03:26:22.334500] Published: {'temperature': 28.23, 'humidity': 62.18, 'co2': 457, 'ch4': 2, 'pressure': 1022, 'light': 997}
📡 [2026-04-18T03:26:27.334987] Published: {'temperature': 29.89, 'humidity': 75.78, 'co2': 870, 'ch4': 13, 'pressure': 1006, 'light': 235}
📡 [2026-04-18T03:26:32.336225] Published: {'temperature': 26.29, 'humidity': 77.13, 'co2': 677, 'ch4': 5, 'pressure': 990, 'light': 332}
📡 [2026-04-18T03:26:37.337397] Published: {'temperature': 26.18, 'humidity': 79.72, 'co2': 467, 'ch4': 9, 'pressure': 1005, 'light': 602}
📡 [2026-04-18T03:26:42.338449] Published: {'temperature': 27.74, 'humidity': 59.72, 'co2': 438, 'ch4': 2, 'pressure': 1015, 'light': 251}
📡 [2026-04-18T03:26:47.339859] Published: {'temperature': 29.86, 'humidity': 62.5, 'co2': 521, 'ch4': 1, 'pressure': 1015, 'light': 659}
📡 [2026-04-18T03:26:52.340612] Published: {'temperature': 28.32, 'humidity': 79.91, 'co2': 517, 'ch4': 9, 'pressure': 993, 'light': 311}
📡 [2026-04-18T03:26:57.342221] Published: {'temperature': 27.62, 'humidity': 53.97, 'co2': 775, 'ch4': 15, 'pressure': 999, 'light': 560}
📡 [2026-04-18T03:27:02.342846] Published: {'temperature': 25.67, 'humidity': 70.93, 'co2': 456, 'ch4': 9, 'pressure': 1021, 'light': 582}
📡 [2026-04-18T03:27:07.343930] Published: {'temperature': 25.77, 'humidity': 74.32, 'co2': 925, 'ch4': 14, 'pressure': 1004, 'light': 283}
📡 [2026-04-18T03:27:12.344837] Published: {'temperature': 29.01, 'humidity': 63.91, 'co2': 421, 'ch4': 9, 'pressure': 1014, 'light': 567}
📡 [2026-04-18T03:27:17.345215] Published: {'temperature': 25.05, 'humidity': 67.71, 'co2': 914, 'ch4': 1, 'pressure': 1000, 'light': 217}
📡 [2026-04-18T03:27:22.346065] Published: {'temperature': 25.68, 'humidity': 60.58, 'co2': 858, 'ch4': 11, 'pressure': 1020, 'light': 500}
📡 [2026-04-18T03:27:27.347215] Published: {'temperature': 24.59, 'humidity': 70.08, 'co2': 984, 'ch4': 3, 'pressure': 1015, 'light': 105}
📡 [2026-04-18T03:27:32.348308] Published: {'temperature': 26.34, 'humidity': 57.96, 'co2': 781, 'ch4': 5, 'pressure': 1021, 'light': 201}
📡 [2026-04-18T03:27:37.349212] Published: {'temperature': 24.24, 'humidity': 62.72, 'co2': 430, 'ch4': 6, 'pressure': 1007, 'light': 859}
📡 [2026-04-18T03:27:42.350456] Published: {'temperature': 29.2, 'humidity': 67.57, 'co2': 492, 'ch4': 3, 'pressure': 1010, 'light': 767}
📡 [2026-04-18T03:27:47.351583] Published: {'temperature': 26.12, 'humidity': 56.48, 'co2': 859, 'ch4': 14, 'pressure': 995, 'light': 408}
📡 [2026-04-18T03:27:52.351967] Published: {'temperature': 29.31, 'humidity': 54.29, 'co2': 605, 'ch4': 13, 'pressure': 995, 'light': 523}
📡 [2026-04-18T03:27:57.352882] Published: {'temperature': 24.27, 'humidity': 72.58, 'co2': 713, 'ch4': 4, 'pressure': 991, 'light': 237}
📡 [2026-04-18T03:28:02.353828] Published: {'temperature': 26.79, 'humidity': 72.87, 'co2': 443, 'ch4': 7, 'pressure': 1015, 'light': 499}
📡 [2026-04-18T03:28:07.354764] Published: {'temperature': 25.05, 'humidity': 68.63, 'co2': 955, 'ch4': 9, 'pressure': 1000, 'light': 293}
📡 [2026-04-18T03:28:12.356277] Published: {'temperature': 27.64, 'humidity': 74.95, 'co2': 755, 'ch4': 5, 'pressure': 994, 'light': 825}
📡 [2026-04-18T03:28:17.357242] Published: {'temperature': 28.32, 'humidity': 54.98, 'co2': 681, 'ch4': 12, 'pressure': 1003, 'light': 323}
📡 [2026-04-18T03:28:22.358224] Published: {'temperature': 29.83, 'humidity': 84.78, 'co2': 562, 'ch4': 5, 'pressure': 1000, 'light': 530}
📡 [2026-04-18T03:28:27.359347] Published: {'temperature': 29.6, 'humidity': 62.38, 'co2': 492, 'ch4': 12, 'pressure': 1016, 'light': 364}
